upcoming id	semantic type	Flickr photo ids
10983373	Education,Community	8489970916
535098	Music	2621754188,2621771432,2620933825,2621757650,2621762114,2620942045,2621766018,2621745274,2621749934,2620953263,2620920903,2620929039,2620952011,2620932443,2620945053,2620923827,2621759496,2620946525,2620937671,2621773260,2621763070,2620925591
10749381	Music,Social	8364987053
5055701	Music	4267985096
66259	Education	159613177,159614496,159613742,158312723,158312807,159612493,164303907,158312338,164303965,159610719,161554421,159610952,159612053,161554295,159612963,164303884,159611451,159612214,159612368,159613461,158312615,164303855,159612804,159611245,159613594,164303502,159611801,159614132,159613271,159613876,164303941,158312500,159612653,159614385,159611673
5655135	Festivals	4738035607,4738648460,4738010249,4738682604,4738672694,4738023045,4738014913,4738012989,4738013853,4738662270,4738651256,4738039249,4738657160,4738658244,4738678534,4738641794,4738029583,4738656298,4738031085,4738676524,4738679672,4738027085,4738019973,4738043099,4738027993,4738673656,4738032699,4738018065,4738643774,4738641032,4738674596,4738663956,4738034837,4738028897,4738665966,4738037629,4738654440,4738670790,4738681638,4738668976
451010	Music	2326843516
8624455	Media,Education	6588626035
10020183	Music,Social	8075211922
383326	Commercial	2103085201,2103085177,2103085191,2103085195,2103085189
757834	Festivals	2554248054
195975	Festivals	519156663,519971732,519126230,520017005,519984276,519153757,519968280,519967576,519977580,519161585,519981068,519976072,519162481,519129286,520006745,520015095,519986746,519163531,519127040,519981766,520002171,519974146,519972362,519160611,520011683,520001213,520009957,520004545,519134848,520008331,519979488,519968854,520017489,519125388,519130328,520013969
236952	Music	1424957856,1424647990,1424963514
9916614	Music	7827465964
395334	Performing Arts	2069495471,2129712275,2129710615
7235091	Performing Arts	5128493023,5128508655,5128494059,5129090672,5128491059,5128490401,5128492081,5129091502,5128488885,5129111750,5129109902,5128509631,5128507943,5128505489,5128489445,5128487681,5129112668,5128484651
5162110	Social	4269144500
10927552	Education	8432210298
1823267	Media	3374888185,3374958075,3374859513,3382072204,3376028095,3375698526,3380196443,3374283548,3375868903,3374878197,3373101339,3375720206,3377094264,3379612310,3377114886,3374807401,3380196463,3375621812,3374862543,3376689512,3375686483,3377064776,3373098165,3375894001,3377052210,3376857326,3374860497,3375102347,3377056228,3373097221,3376693196,3375835971,3375708164,3375622550,3380196447,3386209592,3373917334,3377175462,3378799181,3374890787,3382079610,3380196457,3375896513,3376018255,3376705152,3374886135,3373099593,3374872943,3376383955,3373222475,3376004065,3380196461,3377225010,3373221723,3375714128,3378429745,3375849999,3376502682,3376661754,3375173663,3381258105,3374876261,3376679150,3373916930,3375901349,3373101863,3381255559,3374805277,3377062352,3375840485,3373577495,3373914332,3375685819,3376033551,3376023503,3381252337,3376050987,3375701340,3377229652,3387670377,3375623490,3378805611,3378418685,3375683672,3374809237,3374806227,3376233871,3375991823,3373474487,3378797525,3373098777,3375828485,3375852332,3378422371,3373460397,3373220813,3375718918,3377054790,3375832887,3378802781,3376672884,3377059884,3374808359
3076753	Media	3746367845,3747156820,3746366837,3747156430,3747157114,3747156192,3747156486,3747156576,3746367197,3746367743,3747173106,3747156678,3746367447,3747156368,3752535983,3747156342,3752626551,3739418583,3747157240,3747156220,3747173076
259472	Sports	2810080207,2827102111,2827928506,1233028399
1899717	Music	3245569459
8812403	Music,Family,Community	6578488445
285788	Performing Arts	1472547107
8750565	Music,Performing Arts,Family	6877782945
1516394	Education	3316545488,3316545804,3316546278,3304643714,3349879690,3349895990,3349875934,3315718677,3349054323,3349058049,3349904760,3316545914,3470697698,3349060285,3349890470,3349884036,3349891868,3315719181,3315719083,3349059177,3304171072,3349057281,3349052963,3349049151,3312352382,3349071671
146366	Social	400245635,400245996,400247242,400140427,400141763,400246021,400246852,400209871,400245732,400246745,400018567,400245837,400469500,400245753,400205595,400246521,400246390,400018638,400018725,400246793,400246174,400247101,400247130,400246289,400210390,400018379,400245779,400247230,400247080,400245979,400204885,400247151,400246768,400245699,400247297,400246306,400204474,400247170,400018501,375740156,400245944,400247038,400245882,400469130,400141216,400246814,400205293,400140746,400245925,400246778,400246880,400245817,400210887,400245860,400246422,400140944,400245905,400018431,400246724,400246258,400246053,400246269,400246236,400141113,400245794,400246045,400246315,400246347,400246070,400245963,400247199,400246448,400246828,400246142,400246437,400247345,400245832
82674	Music	169224784,162257162,169227803,169232745,162257541,169225946,169228506,162257286,162257353,169226721,235907657,169228073,169225460,235908189,169225685,162257488,169229545,162256974,162257029,169223759,169224259,169232182,169225256,169231637,235906168,169227283,169230616,235909204,169234469,235903547,235905958,162257413,235903220,169223125,235902808,169233211,162257603,169227528,169229050,235907144,235907443,235908499,162257226,162256906,235903812,235907926,169225056,169234130,169231110,235908895,162257072,235906432,235904718,235904483,235905762,169222678,235905492,169224038,235906886,169226984,169226464,235904970,235906637,169224500,169233731,169223406,169226204,235905222,169222904
8861934	Education,Sports,Family	7242524150
454453	Social	2483992135,2483998025,2483993739,2483989613,2483985845,2484818500,2483991235,2483990591,2484817796,2483999907,2484003487,2484811504,2484812438,2483989325,2483999411,2484808242,2483995365,2483990019,2484804472,2483986851,2483986297,2483997399,2484808766,2474322290,2484816272,2484001421,2483987433,2484803896,2484814466
